Date,QQQ,SOXX,XBI,XOP,IYH
2022-11-18,0.0%,0.22%,0.58%,-1.11%,1.15%
2022-11-21,-1.03%,-1.66%,-1.41%,-1.9%,0.03%
2022-11-22,1.44%,2.98%,1.38%,4.06%,0.7799999999999999%
2022-11-23,1.0%,1.21%,0.04%,-1.58%,0.44%
2022-11-25,-0.66%,-1.3299999999999998%,0.06999999999999999%,0.01%,0.53%
2022-11-28,-1.47%,-2.5%,-1.7399999999999998%,-3.6700000000000004%,-0.72%
2022-11-29,-0.76%,-0.38999999999999996%,0.41000000000000003%,1.18%,-0.27999999999999997%
2022-11-30,4.5600000000000005%,6.0%,4.55%,0.9199999999999999%,2.6599999999999997%
2022-12-01,0.12%,-0.72%,-0.63%,-1.9900000000000002%,0.37%
2022-12-02,-0.4%,-1.13%,3.09%,-0.84%,0.15%
